HANKOOK;IPike X W429A;winter;225;65;R17
YOKOHAMA;RY818;summer;225;70;R15
GT RADIAL;Savero SUV;summer;225;70;R16
FALKEN;Linam VAN01;summer;225;75;R16
FALKEN;Linam VAN01;summer;225;75;R16
LASSA;TRANSWAY 2;summer;225;75;R16
MAXXIS;MT-764 BIGHORN;summer;225;75;R16
HANKOOK;RW09;winter;225;75;R16
FEDERAL;595 RS-R;summer;235;45;R17
NEXEN;NFera RU1;summer;235;45;R19
GT RADIAL;Sportactive SUV;summer;235;50;R18
LASSA;COMPETUS H/P;summer;235;50;R18
GITI;GITIPREMIUM H1 SUV;summer;235;50;R18
MAXXIS;S-Pro;summer;235;50;R19
NEXEN;NFera RU1;summer;235;50;R19
MAXXIS;HP5;summer;235;55;R17
YOKOHAMA;BluEarth-A AE-50;summer;235;55;R17
GITI;GITIPREMIUM H1 SUV;summer;235;55;R17
NEXEN;NFera RU1;summer;235;55;R18
LASSA;COMPETUS H/P;summer;235;55;R18
TRIANGLE;IcelynX TI501;winter;235;55;R18
SAILUN;Atrezzo Elite;summer;235;60;R16
GT RADIAL;Savero SUV;summer;235;60;R16
GOODRIDE;RP28;summer;235;60;R16
SAILUN;Atrezzo Elite;summer;235;60;R17
FEDERAL;Couragia XUV;summer;235;60;R17
BLACKLION;BH15 Cilerro;summer;235;60;R17
LASSA;COMPETUS H/P 2;summer;235;60;R17
WESTLAKE;SU318;summer;235;60;R17
GOODRIDE;SU318;summer;235;60;R17
GT RADIAL;MaxMiler Pro;summer;235;60;R17
YOKOHAMA;YokohamaBLUEARTH VAN RY55;summer;235;60;R17
ROADCRUZA;RA350;summer;235;60;R17
MICHELIN;Agilis Alpin;winter;235;60;R17
GT RADIAL;Sportactive SUV;summer;235;60;R18
BRIDGESTONE;Duravis R660;summer;235;65;R16
MAXXIS;Vansmart MCV3+;summer;235;65;R16
YOKOHAMA;YokohamaBLUEARTH VAN RY55;summer;235;65;R16
LASSA;TRANSWAY 2;summer;235;65;R16
LASSA;TRANSWAY 2;summer;235;65;R16
SAILUN;IceBlazer WST-1;winter;235;65;R16
BLACKLION;W506;winter;235;65;R17
WESTLAKE;WEST SW608;winter;235;65;R17
GOODRIDE;SW608;winter;235;65;R17
GOODYEAR;Eagle F1 Asymmetric 3 SUV;summer;235;65;R18
FEDERAL;Couragia XUV;summer;235;70;R16
HANKOOK;Dynapro HP2 (RA33);summer;235;70;R16
GT RADIAL;Savero SUV;summer;235;70;R16
WESTLAKE;SU318;summer;235;70;R16
ROTALLA;RF10;summer;235;70;R16
WESTLAKE;SU318;summer;235;75;R15
PIRELLI;P Zero Winter;winter;245;35;R20
LASSA;DRIVEWAYS;summer;245;45;R17
FEDERAL;Evoluzion ST-1;summer;245;45;R19
Green Max;Linglong GreenMax LL;summer;245;45;R19
LASSA;COMPETUS H/P 2;summer;245;45;R20
HANKOOK;W310;winter;245;50;R18
YOKOHAMA;iceGUARD iG60A;winter;245;50;R19
BLACKLION;S806 VoracioH/T;summer;245;55;R19
TRACMAX;X PRIVILO H/T;summer;245;60;R18
BLACKLION;BA80 VoracioA/T;summer;245;60;R18
BLACKLION;BC86 VoracioH/T;summer;245;60;R18
ROTALLA;RF10;summer;245;60;R18
BLACKLION;BC86 VoracioH/T;summer;245;65;R17
HANKOOK;Dynapro HP2 (RA33);summer;245;70;R16
BLACKLION;BC86 VoracioH/T;summer;245;70;R16
MAXXIS;VS-01 VICTRA ASYMM;summer;255;45;R17
ROADCRUZA;RA710;summer;255;45;R17
MAXXIS;HP5;summer;255;45;R18
NEXEN;NFera RU1;summer;255;45;R19
HANKOOK;RW11;winter;255;50;R19
LASSA;COMPETUS H/P;summer;255;60;R17
LASSA;COMPETUS H/L;summer;255;65;R16
HAIDA;HD837;summer;255;70;R15
ROTALLA;RF10;summer;255;70;R16
WINRUN;MAXCLAW H/T2;summer;255;70;R18
BLACKLION;BC86 VoracioH/T;summer;255;70;R18
NEXEN;RO-542;summer;265;60;R18
GT RADIAL;Savero SUV;summer;265;60;R18
LASSA;COMPETUS H/P 2;summer;265;60;R18
GOODRIDE;SA57;summer;265;60;R18
GT RADIAL;Savero SUV;summer;265;65;R17
BLACKLION;BC86 VoracioH/T;summer;265;65;R17
SAILUN;IceBlazer WST-2 LT;winter;265;65;R18
GOODRIDE;SU318;summer;265;70;R15
FEDERAL;Couragia XUV;summer;265;70;R16
HANKOOK;Dynapro HP2 (RA33);summer;265;70;R16
GT RADIAL;Savero SUV;summer;265;70;R16
LASSA;COMPETUS H/L;summer;265;70;R16
ROTALLA;RF10;summer;265;70;R16
TRACMAX;X PRIVILO H/T;summer;265;70;R17
GOODRIDE;SU318;summer;265;75;R15
ARIVO;TERRANO ARV H/T;summer;265;75;R16
ROTALLA;RS01+;summer;275;40;R21
MICHELIN;Pilot Sport 4;summer;275;55;R19
GRIPMAX;Stature H/T;summer;275;55;R19
WINRUN;R330;summer;275;55;R19
BLACKLION;BC86 VoracioH/T;summer;275;55;R20
DUNLOP;AT23;summer;275;60;R18
GOODYEAR;EfficientGrip SUV;summer;275;65;R18
FEDERAL;Couragia XUV;summer;275;70;R16
MAXXIS;VS-01 VICTRA ASYMM;summer;285;35;R19
PIRELLI;Scorpion Winter;winter;285;45;R19
NEXEN;NFera RU1;summer;285;50;R18
DUNLOP;GranPT2A;summer;285;50;R20
YOKOHAMA;AVS S/T V801;summer;285;55;R18
GOODYEAR;EfficientGrip SUV;summer;285;60;R18
NEXEN;RO-A/T II;summer;285;60;R18
WESTLAKE;SU318;summer;285;60;R18
GOODRIDE;SU318;summer;285;60;R18
ROADCRUZA;RA710;summer;295;30;R19
LASSA;COMPETUS H/P 2;summer;295;35;R21
HANKOOK;Winter i*cept RS2 (W452);winter;135;70;R15
YOKOHAMA;IG50 Plus;winter;135;80;R12
HANKOOK;Winter i*cept RS2 (W452);winter;135;80;R13
HANKOOK;Winter i*cept RS2 (W452);winter;145;60;R13
MAXXIS;Arctic Trekker WP-05;winter;145;65;R15
